temperature_c,wind_speed_mps,solar_radiation_wm2,battery_level_percent,hour,solar_power_kwh,wind_power_kwh,energy_demand_kwh
-37.3,22.14,0.0,81.18,6,0.0,64.03,137.85
-40.39,22.56,0.0,41.24,19,6.24,58.63,139.44
-28.13,28.69,172.67,84.54,14,35.01,88.07,126.95
-13.19,11.67,295.27,40.14,10,62.86,31.03,108.65
-15.2,25.66,48.39,85.9,7,14.73,68.44,88.86
-42.8,18.5,0.0,26.82,20,5.45,48.29,140.92
-26.79,27.77,0.0,89.29,6,0.0,83.68,114.34
-24.1,34.67,0.0,59.93,18,5.88,99.57,100.96
-19.22,7.02,0.0,43.72,22,3.5,30.19,92.41
-18.99,34.81,140.49,41.21,10,27.71,96.18,107.39
-30.41,3.14,429.91,54.56,10,93.6,13.97,138.44
-22.57,0.08,0.0,99.92,23,6.06,5.5,75.68
-25.76,1.55,0.0,37.63,20,0.0,8.38,102.95
-9.6,11.96,0.0,28.26,3,5.52,30.43,60.0
-23.79,22.15,49.45,66.8,7,14.26,64.86,114.58
-27.36,2.42,0.0,59.08,23,2.04,6.19,104.05
-28.82,0.2,0.0,61.94,2,0.53,0.0,96.88
-22.1,32.8,0.0,73.35,21,7.88,87.01,96.16
-12.84,28.77,0.0,41.37,20,8.47,67.83,87.64
-23.46,28.32,0.0,92.85,1,0.0,86.79,86.01
-18.53,30.95,0.0,54.85,23,2.45,89.25,76.71
-15.49,24.5,404.53,30.33,11,96.49,60.54,88.55
-24.19,3.65,0.0,79.38,5,0.0,14.53,95.99
-27.93,13.97,0.0,71.45,1,0.97,46.72,83.53
-9.93,25.31,0.0,45.26,20,4.02,75.53,70.27
-28.3,9.81,0.0,69.72,0,0.0,22.12,106.78
-26.52,24.06,314.17,37.59,11,72.43,62.98,110.98
-5.39,0.86,0.0,55.59,21,0.0,0.0,66.73
-44.99,10.71,152.84,91.95,11,34.39,35.15,165.92
-37.58,19.22,150.18,30.68,16,37.62,56.69,149.19
-29.64,22.12,175.1,50.94,9,28.97,78.68,124.19
-7.7,20.2,138.04,85.69,15,33.51,46.71,72.82
-42.2,24.42,160.08,97.56,14,43.37,68.06,157.96
-44.62,0.21,312.74,56.31,14,66.67,0.0,186.33
-42.89,3.53,0.0,60.56,18,2.31,13.46,144.25
-41.46,30.41,230.62,65.77,11,56.08,91.55,148.09
-43.5,23.86,0.0,94.59,22,0.0,75.46,138.1
-25.81,3.95,0.0,88.66,19,3.03,12.19,110.1
-21.77,29.47,0.0,33.65,2,4.1,71.04,81.92
-34.13,8.48,0.0,54.94,4,2.55,23.44,116.47
-29.07,16.74,0.0,57.12,18,0.35,49.49,127.77
-41.33,5.08,0.0,83.13,6,0.0,8.19,135.57
-31.55,24.85,0.0,68.23,20,5.57,67.99,120.31
-24.1,23.34,164.54,72.34,8,36.34,57.69,119.87
-15.71,7.39,0.0,99.86,6,0.0,17.02,75.94
-44.87,30.22,64.9,26.0,17,13.01,90.09,143.14
-26.31,14.05,0.0,37.84,3,1.47,43.42,101.66
-33.12,10.24,470.73,52.63,13,97.32,20.3,164.89
-10.89,5.33,51.06,47.82,17,11.3,10.69,86.9
-16.38,9.32,101.56,21.73,8,20.68,26.44,96.31
-21.44,0.77,0.0,27.34,20,5.34,3.52,94.14
-33.91,20.41,0.0,74.48,1,0.0,53.17,123.31
-8.59,29.48,0.0,90.35,19,3.76,85.4,72.28
-43.2,19.21,131.54,61.14,14,34.61,53.58,164.93
-40.62,7.67,0.0,63.14,6,0.0,6.02,145.99
-29.33,1.18,272.71,40.41,11,53.13,0.0,130.24
-40.02,7.51,51.81,81.43,7,18.54,17.43,131.77
-6.74,14.56,135.48,80.14,14,26.19,44.84,93.27
-13.08,26.59,0.0,67.07,2,12.38,78.63,60.66
-34.64,6.57,463.71,37.01,13,94.79,8.36,140.4
-21.46,25.19,131.67,27.76,16,29.65,73.16,130.74
-5.71,30.34,0.0,25.14,3,0.0,84.51,60.0
-9.63,15.89,97.91,67.42,17,20.71,45.25,88.14
-20.97,28.75,61.57,86.0,7,15.4,76.82,100.37
-8.85,19.41,0.0,88.67,3,2.08,53.98,60.0
-5.43,22.3,0.0,57.09,1,0.0,69.34,60.0
-15.27,18.42,0.0,82.74,5,0.0,52.25,81.11
-42.4,16.21,0.0,95.75,21,4.19,45.13,133.0
-28.94,8.21,134.14,42.01,9,32.02,20.11,130.13
-11.49,10.61,0.0,51.84,3,0.46,36.02,60.0
-35.78,10.15,0.0,94.52,21,2.39,20.74,114.88
-11.77,19.72,92.64,47.06,17,23.46,50.4,79.25
-40.19,4.2,283.96,93.11,11,59.42,3.73,160.17
-43.12,32.09,0.0,98.48,1,2.24,91.06,127.8
-29.64,25.22,112.96,72.94,9,22.64,77.69,140.22
-43.53,14.05,0.0,85.35,3,3.21,37.37,133.83
-6.71,5.55,417.63,79.96,13,91.11,9.12,80.48
-11.95,30.87,314.45,75.96,15,71.63,96.25,97.14
-12.97,28.83,276.22,44.55,14,59.03,83.43,89.57
-19.81,25.26,109.25,24.57,7,26.69,72.39,96.91
-36.35,9.5,372.36,47.44,13,78.0,25.46,154.52
-24.27,14.09,0.0,73.35,22,0.14,43.47,96.23
-21.11,3.6,83.45,28.2,7,22.28,11.65,110.86
-24.0,6.62,0.0,20.95,20,1.87,15.65,122.92
-34.59,27.41,305.42,31.18,15,67.96,74.87,151.06
-24.39,25.03,289.26,77.26,12,70.85,63.96,134.48
-25.35,20.77,111.83,97.82,17,28.7,51.29,139.12
-5.15,31.35,309.35,98.65,14,71.48,86.0,74.67
-9.1,20.41,0.0,59.52,20,2.63,64.07,70.41
-26.46,16.34,0.0,89.55,23,3.13,39.55,92.8
-20.08,11.91,276.96,78.95,12,67.56,38.37,122.3
-15.09,32.92,170.67,60.08,8,35.88,87.38,94.03
-43.61,2.9,384.46,65.82,14,88.62,0.0,160.78
